attraction_name,city,entry_fee,timings,category
Mariam-uz-Zamani Tomb,Agra,100,9:00 AM - 5:30 PM,Heritage
Jama Masjid Agra,Agra,110,9:00 AM - 6:00 PM,Attraction
Mankameshwar Temple,Agra,0,5:00 AM - 9:00 PM,Religious
Sikandra,Agra,60,9:00 AM - 6:00 PM,Attraction
Agra Bear Rescue Facility,Agra,70,9:00 AM - 6:00 PM,Attraction
Keetham Lake,Agra,20,6:00 AM - 6:00 PM,Nature
Sur Sarovar Bird Sanctuary,Agra,210,7:00 AM - 5:30 PM,Wildlife
Taj Nature Walk,Agra,60,9:00 AM - 6:00 PM,Attraction
Chini Ka Rauza,Agra,30,9:00 AM - 6:00 PM,Attraction
Ram Bagh,Agra,20,9:00 AM - 6:00 PM,Attraction
Agra Fort Mosque,Agra,30,5:00 AM - 9:00 PM,Religious
Anguri Bagh,Agra,150,9:00 AM - 6:00 PM,Attraction
Musamman Burj,Agra,140,9:00 AM - 6:00 PM,Attraction
Diwan-i-Am Agra Fort,Agra,100,9:00 AM - 5:30 PM,Heritage
Diwan-i-Khas Agra Fort,Agra,150,9:00 AM - 5:30 PM,Heritage
Sheesh Mahal Agra Fort,Agra,20,9:00 AM - 5:30 PM,Heritage
Moti Masjid Agra,Agra,20,9:00 AM - 6:00 PM,Attraction
Buland Darwaza,Agra,30,9:00 AM - 6:00 PM,Attraction
Panch Mahal,Agra,50,9:00 AM - 6:00 PM,Attraction
Salim Chishti Tomb,Agra,20,9:00 AM - 5:30 PM,Heritage
Jodha Bai Palace,Agra,110,9:00 AM - 5:30 PM,Heritage
Birbal's House Fatehpur Sikri,Agra,30,9:00 AM - 6:00 PM,Attraction
Pachisi Court,Agra,30,9:00 AM - 6:00 PM,Attraction
Tomb of Salabat Khan,Agra,190,9:00 AM - 5:30 PM,Heritage
Guru Ka Taal,Agra,110,9:00 AM - 6:00 PM,Attraction
Soami Bagh Temple,Agra,20,5:00 AM - 9:00 PM,Religious
Wildlife SOS Elephant Conservation,Agra,250,7:00 AM - 5:30 PM,Wildlife
Agra Marble Emporium,Agra,140,9:00 AM - 6:00 PM,Attraction
Kinari Bazaar,Agra,0,10:00 AM - 10:00 PM,Shopping
Sadar Bazaar Agra,Agra,0,10:00 AM - 10:00 PM,Shopping
Taj Mahal East Gate,Agra,160,9:00 AM - 5:30 PM,Heritage
Taj Mahal West Gate,Agra,30,9:00 AM - 5:30 PM,Heritage
Khas Mahal Agra,Agra,80,9:00 AM - 6:00 PM,Attraction
Octagonal Tower Agra Fort,Agra,120,9:00 AM - 5:30 PM,Heritage
Kashi Vishwanath Temple,Varanasi,40,5:00 AM - 9:00 PM,Religious
Dashashwamedh Ghat,Varanasi,50,9:00 AM - 6:00 PM,Attraction
Assi Ghat,Varanasi,110,9:00 AM - 6:00 PM,Attraction
Manikarnika Ghat,Varanasi,90,9:00 AM - 6:00 PM,Attraction
Sarnath,Varanasi,80,9:00 AM - 6:00 PM,Attraction
Sarnath Museum,Varanasi,60,10:00 AM - 5:30 PM,Museum
Dhamek Stupa,Varanasi,130,9:00 AM - 5:30 PM,Heritage
Chaukhandi Stupa,Varanasi,180,9:00 AM - 5:30 PM,Heritage
Mulagandha Kuti Vihara,Varanasi,120,9:00 AM - 6:00 PM,Attraction
Bharat Mata Temple,Varanasi,20,5:00 AM - 9:00 PM,Religious
Sankat Mochan Hanuman Temple,Varanasi,30,5:00 AM - 9:00 PM,Religious
Durga Temple Varanasi,Varanasi,20,5:00 AM - 9:00 PM,Religious
Tulsi Manas Temple,Varanasi,20,5:00 AM - 9:00 PM,Religious
Kal Bhairav Temple,Varanasi,0,5:00 AM - 9:00 PM,Religious
Nepali Temple Varanasi,Varanasi,50,5:00 AM - 9:00 PM,Religious
Ramnagar Fort,Varanasi,150,9:00 AM - 5:30 PM,Heritage
Ramnagar Museum,Varanasi,30,10:00 AM - 5:30 PM,Museum
Banaras Hindu University,Varanasi,60,9:00 AM - 6:00 PM,Attraction
New Vishwanath Temple,Varanasi,50,5:00 AM - 9:00 PM,Religious
Bharat Kala Bhavan Museum,Varanasi,130,10:00 AM - 5:30 PM,Museum
Ganga Aarti Dashashwamedh,Varanasi,60,9:00 AM - 6:00 PM,Attraction
Kedar Ghat,Varanasi,130,9:00 AM - 6:00 PM,Attraction
Man Mandir Ghat,Varanasi,0,5:00 AM - 9:00 PM,Religious
Scindia Ghat,Varanasi,60,9:00 AM - 6:00 PM,Attraction
Ravidas Ghat,Varanasi,140,9:00 AM - 6:00 PM,Attraction
Tulsi Ghat,Varanasi,80,9:00 AM - 6:00 PM,Attraction
Chet Singh Ghat,Varanasi,70,9:00 AM - 6:00 PM,Attraction
Rajendra Prasad Ghat,Varanasi,110,9:00 AM - 6:00 PM,Attraction
Ahilyabai Ghat,Varanasi,20,9:00 AM - 6:00 PM,Attraction
Lalita Ghat,Varanasi,100,9:00 AM - 6:00 PM,Attraction
Darbhanga Ghat,Varanasi,70,9:00 AM - 6:00 PM,Attraction
Munshi Ghat,Varanasi,50,9:00 AM - 6:00 PM,Attraction
Kaal Bhairav Gali,Varanasi,100,9:00 AM - 6:00 PM,Attraction
Godowlia Market,Varanasi,0,10:00 AM - 10:00 PM,Shopping
Ramnagar Bridge,Varanasi,30,9:00 AM - 5:30 PM,Heritage
Chunar Fort,Varanasi,50,9:00 AM - 5:30 PM,Heritage
Chunar,Varanasi,40,9:00 AM - 6:00 PM,Attraction
Vindhyachal Temple,Varanasi,40,5:00 AM - 9:00 PM,Religious
Durga Kund,Varanasi,30,9:00 AM - 6:00 PM,Attraction
Kriti Gallery,Varanasi,60,10:00 AM - 5:30 PM,Museum
Bara Imambara,Lucknow,20,9:00 AM - 6:00 PM,Attraction
Chota Imambara,Lucknow,40,9:00 AM - 6:00 PM,Attraction
Rumi Darwaza,Lucknow,100,9:00 AM - 6:00 PM,Attraction
British Residency Lucknow,Lucknow,70,9:00 AM - 6:00 PM,Attraction
Hazratganj,Lucknow,110,9:00 AM - 6:00 PM,Attraction
Ambedkar Memorial Park,Lucknow,110,9:00 AM - 5:30 PM,Heritage
Janeshwar Mishra Park,Lucknow,0,6:00 AM - 6:00 PM,Nature
Lucknow Zoo,Lucknow,320,7:00 AM - 5:30 PM,Wildlife
State Museum Lucknow,Lucknow,70,10:00 AM - 5:30 PM,Museum
La Martiniere College,Lucknow,70,9:00 AM - 6:00 PM,Attraction
Dilkusha Kothi,Lucknow,80,9:00 AM - 6:00 PM,Attraction
Chattar Manzil,Lucknow,80,9:00 AM - 6:00 PM,Attraction
Husainabad Clock Tower,Lucknow,140,9:00 AM - 5:30 PM,Heritage
Mankameshwar Mandir Lucknow,Lucknow,10,5:00 AM - 9:00 PM,Religious
Aminabad,Lucknow,140,9:00 AM - 6:00 PM,Attraction
Tunday Kababi Chowk,Lucknow,80,9:00 AM - 6:00 PM,Attraction
Dr B R Ambedkar Park,Lucknow,100,6:00 AM - 6:00 PM,Nature
Kanshi Ram Smarak Sthal,Lucknow,50,9:00 AM - 6:00 PM,Attraction
Gomti Riverfront,Lucknow,20,6:00 AM - 6:00 PM,Nature
Indira Gandhi Planetarium,Lucknow,80,10:00 AM - 5:30 PM,Museum
Regional Science City Lucknow,Lucknow,200,10:00 AM - 5:30 PM,Museum
Kukrail Forest Reserve,Lucknow,0,6:00 AM - 6:00 PM,Nature
Janaki Mandir Lucknow,Lucknow,50,5:00 AM - 9:00 PM,Religious
Chandrika Devi Temple,Lucknow,50,5:00 AM - 9:00 PM,Religious
Deva Sharif,Lucknow,100,9:00 AM - 6:00 PM,Attraction
Anandi Water Park,Lucknow,1270,10:00 AM - 7:00 PM,Amusement Park
Disney Water Wonder Park,Lucknow,80,6:00 AM - 6:00 PM,Nature
Dream World Amusement Park,Lucknow,60,6:00 AM - 6:00 PM,Nature
Residency Museum,Lucknow,110,10:00 AM - 5:30 PM,Museum
Moti Mahal Lucknow,Lucknow,140,9:00 AM - 6:00 PM,Attraction
Sikandar Bagh,Lucknow,40,9:00 AM - 6:00 PM,Attraction
Begum Hazrat Mahal Park,Lucknow,30,6:00 AM - 6:00 PM,Nature
Kaiserbagh Palace,Lucknow,20,9:00 AM - 5:30 PM,Heritage
Qaisar Bagh,Lucknow,20,9:00 AM - 6:00 PM,Attraction
Nawab Wajid Ali Shah Zoological Garden,Lucknow,220,7:00 AM - 5:30 PM,Wildlife
Shahi Baoli,Lucknow,190,9:00 AM - 5:30 PM,Heritage
Husainabad Picture Gallery,Lucknow,180,10:00 AM - 5:30 PM,Museum
Naubat Khana,Lucknow,80,9:00 AM - 6:00 PM,Attraction
Satkhanda,Lucknow,60,9:00 AM - 6:00 PM,Attraction
Constantia,Lucknow,70,9:00 AM - 6:00 PM,Attraction
Sabarmati Ashram,Ahmedabad,10,5:00 AM - 9:00 PM,Religious
Adalaj Stepwell,Ahmedabad,200,9:00 AM - 5:30 PM,Heritage
Kankaria Lake,Ahmedabad,10,6:00 AM - 6:00 PM,Nature
Sidi Saiyyed Mosque,Ahmedabad,10,5:00 AM - 9:00 PM,Religious
Jama Masjid Ahmedabad,Ahmedabad,100,9:00 AM - 6:00 PM,Attraction
Bhadra Fort,Ahmedabad,30,9:00 AM - 5:30 PM,Heritage
Teen Darwaza,Ahmedabad,120,9:00 AM - 6:00 PM,Attraction
Hutheesing Jain Temple,Ahmedabad,40,5:00 AM - 9:00 PM,Religious
Akshardham Temple Gandhinagar,Ahmedabad,20,5:00 AM - 9:00 PM,Religious
Science City Ahmedabad,Ahmedabad,130,10:00 AM - 5:30 PM,Museum
Calico Museum of Textiles,Ahmedabad,190,10:00 AM - 5:30 PM,Museum
Auto World Vintage Car Museum,Ahmedabad,130,10:00 AM - 5:30 PM,Museum
Sardar Patel National Memorial,Ahmedabad,30,9:00 AM - 5:30 PM,Heritage
Sabarmati Riverfront,Ahmedabad,100,6:00 AM - 6:00 PM,Nature
Law Garden,Ahmedabad,0,6:00 AM - 6:00 PM,Nature
Manek Chowk,Ahmedabad,120,9:00 AM - 6:00 PM,Attraction
Dada Harir Stepwell,Ahmedabad,90,9:00 AM - 5:30 PM,Heritage
Sarkhej Roza,Ahmedabad,90,9:00 AM - 6:00 PM,Attraction
Jhulta Minar,Ahmedabad,20,9:00 AM - 6:00 PM,Attraction
Vechaar Utensils Museum,Ahmedabad,100,10:00 AM - 5:30 PM,Museum
Gujarat Science City,Ahmedabad,190,10:00 AM - 5:30 PM,Museum
Indroda Nature Park,Ahmedabad,20,6:00 AM - 6:00 PM,Nature
Nalsarovar Bird Sanctuary,Ahmedabad,300,7:00 AM - 5:30 PM,Wildlife
Thol Lake,Ahmedabad,50,6:00 AM - 6:00 PM,Nature
Modhera Sun Temple,Ahmedabad,10,5:00 AM - 9:00 PM,Religious
Rani ki Vav,Ahmedabad,100,9:00 AM - 6:00 PM,Attraction
Lothal Archaeological Site,Ahmedabad,150,9:00 AM - 6:00 PM,Attraction
Dholavira,Ahmedabad,60,9:00 AM - 6:00 PM,Attraction
Champaner-Pavagadh Archaeological Park,Ahmedabad,50,6:00 AM - 6:00 PM,Nature
Pavagadh Temple,Ahmedabad,10,5:00 AM - 9:00 PM,Religious
Hutheesing Jain Temple Museum,Ahmedabad,20,5:00 AM - 9:00 PM,Religious
Kankaria Zoo,Ahmedabad,270,7:00 AM - 5:30 PM,Wildlife
Kankaria Water Park,Ahmedabad,980,10:00 AM - 7:00 PM,Amusement Park
Gujarat International Finance Tec-City,Ahmedabad,120,9:00 AM - 6:00 PM,Attraction
Sidi Bashir Minar,Ahmedabad,90,9:00 AM - 6:00 PM,Attraction
Teen Darwaza Market,Ahmedabad,0,10:00 AM - 10:00 PM,Shopping
Bhadra Kali Temple,Ahmedabad,40,5:00 AM - 9:00 PM,Religious
Shah Alam Roza,Ahmedabad,140,9:00 AM - 6:00 PM,Attraction
Sarkhej Roza Complex,Ahmedabad,90,9:00 AM - 6:00 PM,Attraction
Sabarmati Riverfront Flower Park,Ahmedabad,100,6:00 AM - 6:00 PM,Nature
Fort Kochi,Kochi,200,9:00 AM - 5:30 PM,Heritage
Mattancherry Palace,Kochi,110,9:00 AM - 5:30 PM,Heritage
Jewish Synagogue Kochi,Kochi,50,9:00 AM - 6:00 PM,Attraction
Chinese Fishing Nets,Kochi,40,9:00 AM - 6:00 PM,Attraction
St Francis Church Kochi,Kochi,50,5:00 AM - 9:00 PM,Religious
Santa Cruz Basilica Kochi,Kochi,30,5:00 AM - 9:00 PM,Religious
Marine Drive Kochi,Kochi,40,9:00 AM - 6:00 PM,Attraction
Kerala Folklore Museum,Kochi,180,10:00 AM - 5:30 PM,Museum
Hill Palace Museum,Kochi,20,9:00 AM - 5:30 PM,Heritage
Cherai Beach,Kochi,0,6:00 AM - 7:00 PM,Beach
Bolgatty Palace,Kochi,130,9:00 AM - 5:30 PM,Heritage
Willingdon Island,Kochi,80,6:00 AM - 6:00 PM,Nature
Vasco da Gama Square,Kochi,130,9:00 AM - 6:00 PM,Attraction
Kerala Kathakali Centre,Kochi,80,9:00 AM - 6:00 PM,Attraction
Indo-Portuguese Museum,Kochi,40,10:00 AM - 5:30 PM,Museum
Paradesi Synagogue,Kochi,120,9:00 AM - 6:00 PM,Attraction
Jew Town Kochi,Kochi,40,9:00 AM - 6:00 PM,Attraction
Mangalavanam Bird Sanctuary,Kochi,100,7:00 AM - 5:30 PM,Wildlife
Wonderla Kochi,Kochi,780,10:00 AM - 7:00 PM,Amusement Park
Lulu Mall Kochi,Kochi,0,10:00 AM - 10:00 PM,Shopping
Kerala Museum,Kochi,140,10:00 AM - 5:30 PM,Museum
Kumbalangi,Kochi,100,9:00 AM - 6:00 PM,Attraction
Vypin Island,Kochi,40,6:00 AM - 6:00 PM,Nature
Puthuvype Beach,Kochi,0,6:00 AM - 7:00 PM,Beach
Fort Kochi Beach,Kochi,0,6:00 AM - 7:00 PM,Beach
Bastion Bungalow,Kochi,40,9:00 AM - 6:00 PM,Attraction
David Hall,Kochi,130,9:00 AM - 6:00 PM,Attraction
Princess Street Kochi,Kochi,130,9:00 AM - 6:00 PM,Attraction
Dutch Cemetery Kochi,Kochi,30,9:00 AM - 6:00 PM,Attraction
Kodanad Elephant Training Centre,Kochi,20,9:00 AM - 6:00 PM,Attraction
Athirappilly Falls,Kochi,80,6:00 AM - 6:00 PM,Nature
Vazhachal Falls,Kochi,30,6:00 AM - 6:00 PM,Nature
Thattekad Bird Sanctuary,Kochi,490,7:00 AM - 5:30 PM,Wildlife
Cherai Muziris Heritage Project,Kochi,110,9:00 AM - 6:00 PM,Attraction
Kerala History Museum,Kochi,120,10:00 AM - 5:30 PM,Museum
Chendamangalam Synagogue,Kochi,90,6:00 AM - 6:00 PM,Nature
Pallipuram Fort,Kochi,30,9:00 AM - 5:30 PM,Heritage
Bolgatty Island,Kochi,60,6:00 AM - 6:00 PM,Nature
Kochi Biennale Pavilion,Kochi,80,9:00 AM - 6:00 PM,Attraction
Kochi-Muziris Biennale,Kochi,100,9:00 AM - 6:00 PM,Attraction
Sri Padmanabhaswamy Temple,Thiruvananthapuram,40,5:00 AM - 9:00 PM,Religious
Kovalam Beach,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Napier Museum,Thiruvananthapuram,80,10:00 AM - 5:30 PM,Museum
Kuthira Malika Palace Museum,Thiruvananthapuram,180,9:00 AM - 5:30 PM,Heritage
Kanakakkunnu Palace,Thiruvananthapuram,50,9:00 AM - 5:30 PM,Heritage
Shangumukham Beach,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Neyyar Dam,Thiruvananthapuram,10,6:00 AM - 6:00 PM,Nature
Neyyar Wildlife Sanctuary,Thiruvananthapuram,140,7:00 AM - 5:30 PM,Wildlife
Poovar Island,Thiruvananthapuram,60,6:00 AM - 6:00 PM,Nature
Veli Tourist Village,Thiruvananthapuram,70,9:00 AM - 6:00 PM,Attraction
Magic Planet,Thiruvananthapuram,1100,10:00 AM - 7:00 PM,Amusement Park
Thiruvananthapuram Zoo,Thiruvananthapuram,210,7:00 AM - 5:30 PM,Wildlife
Sree Chitra Art Gallery,Thiruvananthapuram,120,10:00 AM - 5:30 PM,Museum
Kerala Science and Technology Museum,Thiruvananthapuram,40,10:00 AM - 5:30 PM,Museum
Akkulam Tourist Village,Thiruvananthapuram,130,9:00 AM - 6:00 PM,Attraction
Vizhinjam Lighthouse,Thiruvananthapuram,110,9:00 AM - 6:00 PM,Attraction
Vizhinjam Marine Aquarium,Thiruvananthapuram,120,9:00 AM - 6:00 PM,Attraction
Lighthouse Beach Kovalam,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Hawa Beach Kovalam,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Samudra Beach,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Attukal Bhagavathy Temple,Thiruvananthapuram,10,5:00 AM - 9:00 PM,Religious
Aruvikkara Dam,Thiruvananthapuram,20,6:00 AM - 6:00 PM,Nature
Kowdiar Palace,Thiruvananthapuram,110,9:00 AM - 5:30 PM,Heritage
Priyadarshini Planetarium,Thiruvananthapuram,120,10:00 AM - 5:30 PM,Museum
Keralam - Museum of History and Heritage,Thiruvananthapuram,200,10:00 AM - 5:30 PM,Museum
Palode Botanical Garden,Thiruvananthapuram,40,6:00 AM - 6:00 PM,Nature
Peppara Wildlife Sanctuary,Thiruvananthapuram,270,7:00 AM - 5:30 PM,Wildlife
Ponmudi,Thiruvananthapuram,40,9:00 AM - 6:00 PM,Attraction
Agasthyarkoodam,Thiruvananthapuram,60,6:00 AM - 6:00 PM,Nature
Aazhimala Shiva Temple,Thiruvananthapuram,10,5:00 AM - 9:00 PM,Religious
Varkala Beach,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Janardana Swamy Temple,Thiruvananthapuram,50,5:00 AM - 9:00 PM,Religious
Sivagiri Mutt,Thiruvananthapuram,120,9:00 AM - 6:00 PM,Attraction
Varkala Cliff,Thiruvananthapuram,20,9:00 AM - 6:00 PM,Attraction
Anchuthengu Fort,Thiruvananthapuram,170,9:00 AM - 5:30 PM,Heritage
Edava Beach,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Kappil Beach,Thiruvananthapuram,0,6:00 AM - 7:00 PM,Beach
Kappil Lake,Thiruvananthapuram,60,6:00 AM - 6:00 PM,Nature
Mankayam Waterfalls,Thiruvananthapuram,50,6:00 AM - 6:00 PM,Nature
Meenmutty Waterfalls Kerala,Thiruvananthapuram,80,6:00 AM - 6:00 PM,Nature
Mysore Palace,Mysuru,70,9:00 AM - 5:30 PM,Heritage
Chamundi Hill,Mysuru,80,6:00 AM - 6:00 PM,Nature
Sri Chamundeshwari Temple,Mysuru,0,5:00 AM - 9:00 PM,Religious
Brindavan Gardens,Mysuru,20,6:00 AM - 6:00 PM,Nature
Mysuru Zoo,Mysuru,250,7:00 AM - 5:30 PM,Wildlife
St Philomena's Church Mysuru,Mysuru,40,5:00 AM - 9:00 PM,Religious
Jaganmohan Palace,Mysuru,60,9:00 AM - 5:30 PM,Heritage
Karanji Lake,Mysuru,20,6:00 AM - 6:00 PM,Nature
Railway Museum Mysuru,Mysuru,30,10:00 AM - 5:30 PM,Museum
Lalitha Mahal Palace,Mysuru,50,9:00 AM - 5:30 PM,Heritage
Kukkarahalli Lake,Mysuru,80,6:00 AM - 6:00 PM,Nature
Regional Museum of Natural History Mysuru,Mysuru,30,10:00 AM - 5:30 PM,Museum
Ranganathittu Bird Sanctuary,Mysuru,280,7:00 AM - 5:30 PM,Wildlife
Krishna Raja Sagara Dam,Mysuru,10,6:00 AM - 6:00 PM,Nature
GRS Fantasy Park,Mysuru,870,10:00 AM - 7:00 PM,Amusement Park
Mysuru Sand Sculpture Museum,Mysuru,120,10:00 AM - 5:30 PM,Museum
Folklore Museum Mysuru,Mysuru,90,10:00 AM - 5:30 PM,Museum
Wax Museum Mysore,Mysuru,200,10:00 AM - 5:30 PM,Museum
Melody World Wax Museum,Mysuru,70,10:00 AM - 5:30 PM,Museum
Devaraja Market,Mysuru,0,10:00 AM - 10:00 PM,Shopping
Cheluvamba Mansion,Mysuru,110,9:00 AM - 6:00 PM,Attraction
Jayalakshmi Vilas Mansion,Mysuru,110,9:00 AM - 6:00 PM,Attraction
Kishkindha Moolika Bonsai Garden,Mysuru,30,6:00 AM - 6:00 PM,Nature
Avadoota Datta Peetham,Mysuru,40,9:00 AM - 6:00 PM,Attraction
Nimishamba Temple,Mysuru,0,5:00 AM - 9:00 PM,Religious
Nanjangud Srikanteshwara Temple,Mysuru,20,5:00 AM - 9:00 PM,Religious
Somanathapura Temple,Mysuru,30,5:00 AM - 9:00 PM,Religious
Talakad,Mysuru,30,9:00 AM - 6:00 PM,Attraction
Kokkare Bellur Bird Sanctuary,Mysuru,90,7:00 AM - 5:30 PM,Wildlife
Balmuri Falls,Mysuru,60,6:00 AM - 6:00 PM,Nature
Edmuri Falls,Mysuru,40,6:00 AM - 6:00 PM,Nature
Kunti Betta,Mysuru,110,9:00 AM - 6:00 PM,Attraction
Srirangapatna,Mysuru,60,9:00 AM - 6:00 PM,Attraction
Daria Daulat Bagh,Mysuru,120,9:00 AM - 6:00 PM,Attraction
Gumbaz Srirangapatna,Mysuru,30,9:00 AM - 6:00 PM,Attraction
Tipu Sultan's Summer Palace Srirangapatna,Mysuru,130,9:00 AM - 5:30 PM,Heritage
Ranganatha Temple Srirangapatna,Mysuru,30,5:00 AM - 9:00 PM,Religious
Scottish Church Mysuru,Mysuru,30,5:00 AM - 9:00 PM,Religious
Mysore Palace Museum,Mysuru,50,9:00 AM - 5:30 PM,Heritage
Mysuru Rail Museum,Mysuru,200,10:00 AM - 5:30 PM,Museum
Basilica of Bom Jesus,Goa,40,5:00 AM - 9:00 PM,Religious
Se Cathedral,Goa,10,5:00 AM - 9:00 PM,Religious
Fort Aguada,Goa,130,9:00 AM - 5:30 PM,Heritage
Calangute Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Baga Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Anjuna Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Palolem Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Colva Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Candolim Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Vagator Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Dudhsagar Falls,Goa,100,6:00 AM - 6:00 PM,Nature
Chapora Fort,Goa,160,9:00 AM - 5:30 PM,Heritage
Reis Magos Fort,Goa,200,9:00 AM - 5:30 PM,Heritage
Basilica of St Cajetan,Goa,20,5:00 AM - 9:00 PM,Religious
Church of St Francis of Assisi Goa,Goa,0,5:00 AM - 9:00 PM,Religious
Miramar Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Dona Paula,Goa,30,9:00 AM - 6:00 PM,Attraction
Salim Ali Bird Sanctuary,Goa,100,7:00 AM - 5:30 PM,Wildlife
Mollem National Park,Goa,360,7:00 AM - 5:30 PM,Wildlife
Cotigao Wildlife Sanctuary,Goa,240,7:00 AM - 5:30 PM,Wildlife
Bondla Wildlife Sanctuary,Goa,210,7:00 AM - 5:30 PM,Wildlife
Spice Plantation Ponda,Goa,140,9:00 AM - 6:00 PM,Attraction
Shantadurga Temple,Goa,50,5:00 AM - 9:00 PM,Religious
Mangueshi Temple,Goa,10,5:00 AM - 9:00 PM,Religious
Mahalasa Temple,Goa,10,5:00 AM - 9:00 PM,Religious
Our Lady of Immaculate Conception Church,Goa,20,5:00 AM - 9:00 PM,Religious
Fontainhas,Goa,80,9:00 AM - 6:00 PM,Attraction
Panaji Church Square,Goa,40,5:00 AM - 9:00 PM,Religious
Goa State Museum,Goa,200,10:00 AM - 5:30 PM,Museum
Goa Science Centre,Goa,130,10:00 AM - 5:30 PM,Museum
Naval Aviation Museum,Goa,130,10:00 AM - 5:30 PM,Museum
Museum of Christian Art,Goa,180,10:00 AM - 5:30 PM,Museum
Saturday Night Market Arpora,Goa,0,10:00 AM - 10:00 PM,Shopping
Mapusa Market,Goa,0,10:00 AM - 10:00 PM,Shopping
Panjim Market,Goa,0,10:00 AM - 10:00 PM,Shopping
Casino Pride,Goa,80,9:00 AM - 6:00 PM,Attraction
Splashdown Waterpark,Goa,50,6:00 AM - 6:00 PM,Nature
Goa Kart Racing,Goa,40,9:00 AM - 6:00 PM,Attraction
Butterfly Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Agonda Beach,Goa,0,6:00 AM - 7:00 PM,Beach
Mehrangarh Fort,Jodhpur,80,9:00 AM - 5:30 PM,Heritage
Umaid Bhawan Palace,Jodhpur,160,9:00 AM - 5:30 PM,Heritage
Jaswant Thada,Jodhpur,50,9:00 AM - 6:00 PM,Attraction
Mandore Gardens,Jodhpur,50,6:00 AM - 6:00 PM,Nature
Kaylana Lake,Jodhpur,50,6:00 AM - 6:00 PM,Nature
Clock Tower Jodhpur,Jodhpur,150,9:00 AM - 5:30 PM,Heritage
Sardar Market Jodhpur,Jodhpur,0,10:00 AM - 10:00 PM,Shopping
Rao Jodha Desert Rock Park,Jodhpur,90,6:00 AM - 6:00 PM,Nature
Machia Biological Park,Jodhpur,60,6:00 AM - 6:00 PM,Nature
Toorji Ka Jhalra,Jodhpur,50,9:00 AM - 6:00 PM,Attraction
Ghanta Ghar,Jodhpur,40,9:00 AM - 6:00 PM,Attraction
Chamunda Mata Temple,Jodhpur,30,5:00 AM - 9:00 PM,Religious
Balsamand Lake,Jodhpur,90,6:00 AM - 6:00 PM,Nature
Balsamand Lake Palace,Jodhpur,60,9:00 AM - 5:30 PM,Heritage
Mandore Fort,Jodhpur,150,9:00 AM - 5:30 PM,Heritage
Mahila Bagh Ka Jhalra,Jodhpur,60,9:00 AM - 6:00 PM,Attraction
Masuria Hill Garden,Jodhpur,50,6:00 AM - 6:00 PM,Nature
Rai Ka Bagh Palace,Jodhpur,50,9:00 AM - 5:30 PM,Heritage
Achal Nath Shivalaya,Jodhpur,70,9:00 AM - 6:00 PM,Attraction
Udai Mandir,Jodhpur,20,5:00 AM - 9:00 PM,Religious
Mahamandir Temple,Jodhpur,30,5:00 AM - 9:00 PM,Religious
Sardar Government Museum,Jodhpur,110,10:00 AM - 5:30 PM,Museum
Mehrangarh Museum,Jodhpur,70,10:00 AM - 5:30 PM,Museum
Kailana Sunset Point,Jodhpur,100,9:00 AM - 6:00 PM,Attraction
Jodhpur Stepwell Square,Jodhpur,100,9:00 AM - 5:30 PM,Heritage
Pachetia Hill,Jodhpur,30,6:00 AM - 6:00 PM,Nature
Kaylana Garden,Jodhpur,50,6:00 AM - 6:00 PM,Nature
Rao Jodha Park Visitor Centre,Jodhpur,20,6:00 AM - 6:00 PM,Nature
Jodhpur Polo Heritage Ground,Jodhpur,100,9:00 AM - 6:00 PM,Attraction
Jaswant Sagar Dam,Jodhpur,10,6:00 AM - 6:00 PM,Nature
Bishnoi Village,Jodhpur,60,9:00 AM - 6:00 PM,Attraction
Guda Bishnoi Lake,Jodhpur,40,6:00 AM - 6:00 PM,Nature
Salawas Village,Jodhpur,110,9:00 AM - 6:00 PM,Attraction
Osian Temples,Jodhpur,30,5:00 AM - 9:00 PM,Religious
Sachiya Mata Temple Osian,Jodhpur,50,5:00 AM - 9:00 PM,Religious
Mahavira Temple Osian,Jodhpur,30,5:00 AM - 9:00 PM,Religious
Kuchaman Fort,Jodhpur,140,9:00 AM - 5:30 PM,Heritage
Rohet Garh,Jodhpur,20,9:00 AM - 6:00 PM,Attraction
Dhawa Wildlife Sanctuary,Jodhpur,400,7:00 AM - 5:30 PM,Wildlife
Sardar Samand Lake,Jodhpur,50,6:00 AM - 6:00 PM,Nature
Golden Temple,Amritsar,50,5:00 AM - 9:00 PM,Religious
